-163	-145
-161	-138
-171	-144
-179	-147
-194	-157
-195	-154
-192	-145
-190	-138
-187	-129
-187	-123
-184	-113
-180	-103
-171	-88
-153	-64
-141	-46
-128	-27
-110	-3
-84	27
-57	59
-35	85
0	124
30	158
64	195
94	226
116	249
136	270
144	278
170	304
175	309
184	318
179	312
189	320
178	309
179	308
167	294
165	290
139	261
121	241
110	227
116	231
135	246
154	262
173	278
180	280
166	263
144	238
115	205
117	205
132	218
157	241
161	243
158	239
165	243
183	260
206	281
216	290
230	302
249	320
282	351
305	372
324	389
330	394
336	398
339	399
335	393
326	382
314	368
302	354
284	334
246	294
205	250
159	202
119	160
81	119
39	74
7	40
-20	8
-26	0
-40	-17
-61	-42
-91	-76
-125	-114
-152	-144
-186	-182
-209	-209
-233	-236
-252	-257
-270	-278
-298	-308
-311	-324
-325	-340
-319	-337
-323	-344
-335	-359
-346	-372
-343	-372
-315	-346
-300	-333
-282	-316
-274	-310
-237	-275
-222	-263
-211	-255
-204	-251
-182	-231
-155	-208
-147	-203
-147	-206
-148	-211
-138	-205
-131	-203
-120	-196
-113	-194
-85	-171
-60	-151
-36	-131
-20	-120
2	-102
20	-88
38	-75
52	-64
77	-42
97	-25
111	-13
109	-18
102	-25
96	-32
91	-37
87	-41
80	-48
69	-59
64	-64
55	-71
55	-70
60	-63
66	-55
63	-56
47	-69
28	-85
24	-86
24	-83
31	-72
34	-65
31	-63
20	-70
24	-62
23	-58
24	-52
11	-61
14	-54
15	-49
15	-47
-2	-62
-5	-63
-9	-64
2	-49
0	-49
0	-47
-13	-58
-9	-52
-5	-45
-8	-46
-23	-58
-35	-69
-31	-62
-37	-65
-45	-70
-45	-68
-36	-57
-21	-40
-16	-32
-4	-18
1	-11
17	7
22	12
34	27
36	31
46	43
41	39
27	26
11	12
7	10
4	9
4	12
-4	6
-10	1
-16	-4
-11	2
0	16
10	27
4	22
11	30
21	41
43	64
38	61
42	67
42	68
45	72
32	61
7	37
-18	12
-36	-4
-36	-3
-30	3
-34	1
-34	2
-36	0
-24	14
-27	12
-29	11
-38	3
-28	14
-22	20
-17	27
-13	32
-2	44
12	60
15	63
21	71
25	75
31	81
34	85
38	89
42	93
52	102
56	106
62	111
66	114
70	117
68	114
59	104
76	120
83	126
78	121
47	89
28	68
7	45
-11	26
-27	9
-30	6
-40	-4
-32	3
-19	16
6	42
13	48
16	50
17	50
20	52
20	51
13	43
9	37
-1	26
-3	24
-6	20
-3	23
-4	22
-2	24
-2	24
0	26
-3	22
-10	15
-21	4
-19	6
-7	19
-3	22
-6	18
-16	7
-11	11
-5	16
1	22
8	28
18	37
18	36
7	23
3	18
0	14
-3	10
-11	1
-8	3
-2	8
-1	7
-8	0
-8	-1
-14	-8
-18	-15
-25	-22
-32	-30
-29	-28
-21	-21
-10	-10
0	-1
0	-1
7	4
7	3
10	6
8	3
8	2
9	1
7	-1
-2	-12
-19	-31
-28	-41
-32	-46
-21	-36
-13	-28
-2	-17
4	-11
7	-9
8	-8
6	-12
5	-13
6	-12
-6	-23
-14	-32
-24	-42
-22	-39
-23	-40
-23	-40
-15	-32
-20	-36
-18	-35
-23	-40
-11	-28
13	-3
30	13
42	24
40	21
42	23
46	26
36	17
19	0
12	-7
13	-6
15	-3
8	-10
-4	-22
-5	-23
-8	-25
-16	-33
-33	-50
-52	-67
-50	-65
-41	-55
-31	-45
-29	-43
-25	-39
-28	-41
-40	-52
-45	-57
-40	-52
-31	-42
-39	-50
-43	-53
-39	-48
-29	-37
-25	-34
-23	-31
-13	-20
-2	-8
10	3
24	17
49	43
73	66
76	70
67	61
51	46
40	35
30	25
23	20
21	18
16	14
11	10
-2	-3
-17	-18
-31	-32
-36	-36
-30	-31
-20	-21
-11	-11
-5	-6
3	2
13	12
13	13
8	8
6	6
6	7
7	9
1	3
1	3
5	8
14	17
10	13
-3	0
-9	-5
-2	2
18	22
20	25
18	23
7	11
6	10
5	10
2	6
0	4
-8	-3
-15	-9
-24	-17
-23	-16
-20	-13
-19	-11
-21	-13
-21	-13
-14	-7
-1	5
10	16
16	21
12	16
1	4
-1	1
38	40
44	46
43	44
13	14
19	19
17	17
10	10
9	9
4	4
2	3
-7	-6
9	9
13	13
35	34
19	17
31	29
33	30
52	50
44	41
30	26
20	15
12	6
7	0
-1	-8
-4	-12
