20	31801	0
22	29322	6
18	26636	7
11	23778	5
0	21403	1
-4	19199	0
-12	17640	-6
-19	16407	-11
-18	15403	-13
-7	14570	-8
-3	13862	-7
12	13252	0
34	12717	14
51	12119	26
60	11853	34
68	11408	43
78	11044	53
72	10710	54
57	10402	50
47	10120	48
32	9864	42
14	9627	33
2	9407	26
-4	9160	22
-11	9034	17
-21	8826	10
-24	8652	7
-20	8488	7
-16	8334	7
-18	8188	4
-16	8055	4
-11	7930	5
-10	7812	4
-14	7677	1
-22	7612	-4
-33	7485	-11
-51	7378	-23
-71	7271	-36
-85	7169	-46
-95	7068	-55
-106	6971	-65
-108	6880	-70
-97	6798	-68
-82	6704	-63
-69	6658	-59
-54	6576	-53
-39	6507	-47
-28	6437	-42
-19	6367	-38
-9	6300	-33
-3	6231	-29
-10	6165	-33
-17	6102	-36
-11	6032	-33
-3	5999	-28
2	5942	-25
7	5896	-21
11	5848	-18
21	5798	-12
31	5748	-5
47	5698	4
66	5647	16
76	5596	24
81	5538	29
96	5510	40
106	5463	48
111	5422	54
121	5383	62
130	5343	71
136	5301	78
147	5259	87
155	5217	95
165	5174	105
164	5126	108
165	5098	113
165	5055	117
155	5019	115
154	4984	118
154	4950	122
156	4917	126
161	4885	132
171	4851	140
176	4818	146
182	4781	152
184	4760	157
180	4723	158
173	4692	157
161	4664	153
153	4638	151
145	4611	149
141	4588	148
135	4564	147
125	4538	143
121	4506	142
117	4486	140
110	4456	137
108	4426	137
108	4400	137
113	4378	140
107	4357	138
100	4338	134
97	4319	132
88	4299	128
77	4275	121
51	4257	107
33	4231	96
21	4206	88
11	4183	81
-4	4160	72
10	4139	77
12	4122	76
7	4105	72
13	4089	73
2	4069	65
3	4057	63
-17	4036	51
-25	4016	44
-13	3996	48
-12	3976	46
-7	3958	47
10	3941	54
22	3927	58
34	3912	63
47	3895	69
41	3887	64
41	3869	63
30	3853	56
20	3835	50
8	3817	42
-3	3799	35
-13	3781	28
-35	3766	14
-46	3751	6
-46	3734	4
-48	3726	0
-40	3709	2
-32	3695	4
-21	3680	8
-14	3666	10
-9	3651	11
-2	3637	13
-1	3623	12
-8	3610	7
-6	3595	6
-11	3586	2
-15	3575	-1
-11	3565	0
-7	3556	0
-7	3544	-1
-7	3531	-2
-6	3517	-3
-9	3504	-6
-6	3489	-6
-12	3471	-10
-6	3464	-8
-7	3452	-10
-15	3443	-15
-14	3435	-16
-15	3427	-18
-22	3418	-23
-28	3407	-27
-38	3394	-34
-55	3381	-44
-62	3367	-50
-72	3355	-57
-86	3342	-66
-103	3331	-77
-127	3323	-92
