K1134+888.171	-3.3 	-0.5 	-3.5 	-3.1 	-0.3 	-0.5 	0.0 	-0.2 	-0.2 	
K1134+888.821	-2.9 	-0.5 	-3.2 	-2.6 	-0.5 	-0.5 	0.0 	0.0 	0.0 	
K1134+889.471	-2.8 	-0.3 	-2.8 	-2.8 	-0.3 	0.0 	0.0 	0.2 	0.2 	
K1134+890.121	-2.9 	0.0 	-2.8 	-3.0 	0.1 	0.0 	0.0 	0.0 	0.0 	
K1134+890.771	-3.1 	0.2 	-3.1 	-3.1 	0.2 	0.2 	0.0 	0.0 	0.0 	
K1134+891.421	-3.3 	0.3 	-3.3 	-3.3 	0.4 	0.3 	0.0 	-0.2 	-0.2 	
K1134+892.071	-3.3 	0.3 	-3.3 	-3.4 	0.4 	0.3 	0.0 	-0.1 	-0.1 	
K1134+892.721	-3.0 	0.4 	-3.0 	-3.1 	0.4 	0.5 	0.0 	0.0 	0.0 	
K1134+893.371	-3.2 	0.7 	-3.2 	-3.3 	0.8 	0.7 	0.0 	-0.1 	-0.1 	
K1134+894.021	-3.4 	0.8 	-3.6 	-3.3 	1.0 	0.8 	0.0 	-0.3 	-0.3 	
K1134+894.671	-3.3 	0.7 	-3.4 	-3.3 	0.9 	0.7 	0.0 	-0.1 	-0.1 	
K1134+895.321	-3.2 	0.8 	-3.1 	-3.2 	0.8 	0.9 	0.0 	0.0 	0.0 	
K1134+895.972	-3.0 	0.9 	-3.1 	-3.0 	0.9 	1.0 	0.0 	0.2 	0.2 	
K1134+896.622	-3.0 	0.7 	-3.2 	-2.9 	0.7 	0.8 	0.0 	0.1 	0.1 	
K1134+897.272	-3.1 	0.7 	-3.3 	-2.8 	0.7 	0.8 	0.0 	0.1 	0.1 	
K1134+897.922	-3.1 	0.7 	-3.2 	-2.9 	0.7 	0.9 	0.0 	0.2 	0.2 	
K1134+898.572	-2.9 	0.8 	-3.0 	-2.8 	0.8 	1.0 	0.0 	0.1 	0.1 	
K1134+899.222	-2.8 	0.9 	-2.9 	-2.7 	0.9 	1.1 	0.0 	0.2 	0.2 	
K1134+899.872	-2.8 	1.0 	-2.9 	-2.8 	1.0 	1.1 	0.0 	0.1 	0.1 	
K1134+900.522	-2.9 	1.3 	-3.0 	-2.8 	1.3 	1.4 	0.0 	0.1 	0.1 	
K1134+901.172	-3.0 	1.3 	-3.1 	-2.9 	1.3 	1.4 	0.0 	0.0 	0.0 	
K1134+901.822	-3.0 	1.4 	-3.1 	-2.8 	1.4 	1.4 	0.0 	0.0 	0.0 	
K1134+902.472	-2.8 	1.5 	-2.9 	-2.6 	1.5 	1.6 	0.0 	0.1 	0.1 	
K1134+903.122	-2.7 	1.4 	-2.9 	-2.5 	1.4 	1.5 	0.0 	0.1 	0.1 	
K1134+903.772	-2.7 	1.2 	-2.9 	-2.6 	1.2 	1.3 	0.0 	0.1 	0.1 	
K1134+904.422	-2.7 	1.1 	-2.9 	-2.5 	1.1 	1.2 	0.0 	0.1 	0.1 	
K1134+905.072	-2.7 	1.0 	-2.8 	-2.6 	1.0 	1.0 	0.0 	0.0 	0.0 	
K1134+905.722	-2.8 	0.9 	-2.8 	-2.7 	1.0 	0.9 	0.0 	-0.1 	-0.1 	
K1134+906.372	-2.6 	0.8 	-2.7 	-2.5 	0.8 	0.8 	0.0 	0.1 	0.1 	
K1134+907.022	-2.6 	0.9 	-2.7 	-2.5 	0.9 	1.0 	0.0 	0.1 	0.1 	
K1134+907.672	-2.7 	0.8 	-2.9 	-2.5 	0.8 	1.1 	0.0 	0.3 	0.3 	
K1134+908.322	-3.0 	0.7 	-3.0 	-2.9 	0.7 	0.8 	0.0 	0.1 	0.1 	
K1134+908.972	-2.9 	0.6 	-3.0 	-2.9 	0.6 	0.6 	0.0 	0.0 	0.0 	
K1134+909.622	-2.7 	0.4 	-2.8 	-2.6 	0.5 	0.4 	0.0 	-0.1 	-0.1 	
K1134+910.272	-2.7 	0.1 	-3.0 	-2.5 	0.2 	0.1 	0.0 	-0.1 	-0.1 	
K1134+910.922	-2.5 	-0.2 	-2.8 	-2.2 	-0.1 	-0.2 	0.0 	-0.1 	-0.1 	
K1134+911.573	-2.4 	-0.5 	-2.7 	-2.2 	-0.5 	-0.4 	0.0 	0.1 	0.1 	
K1134+912.223	-2.4 	-0.7 	-2.7 	-2.1 	-0.7 	-0.6 	0.0 	0.2 	0.2 	
K1134+912.873	-2.4 	-0.9 	-2.7 	-2.2 	-0.9 	-0.8 	0.0 	0.1 	0.1 	
K1134+913.523	-2.6 	-1.0 	-2.8 	-2.4 	-1.0 	-0.9 	0.0 	0.1 	0.1 	
K1134+914.173	-2.6 	-1.0 	-2.7 	-2.5 	-1.0 	-1.0 	0.0 	0.1 	0.1 	
K1134+914.823	-2.4 	-1.1 	-2.5 	-2.3 	-1.1 	-1.1 	0.0 	0.1 	0.1 	
K1134+915.473	-2.1 	-1.3 	-2.2 	-2.0 	-1.2 	-1.3 	0.0 	-0.1 	-0.1 	
K1134+916.123	-2.2 	-1.4 	-2.2 	-2.1 	-1.1 	-1.4 	0.0 	-0.3 	-0.3 	
K1134+916.773	-2.4 	-1.6 	-2.4 	-2.4 	-1.3 	-1.6 	0.0 	-0.3 	-0.3 	
K1134+917.423	-2.2 	-1.6 	-2.3 	-2.2 	-1.4 	-1.6 	0.0 	-0.2 	-0.2 	
K1134+918.073	-2.0 	-1.7 	-2.1 	-1.8 	-1.3 	-1.7 	0.0 	-0.4 	-0.4 	
K1134+918.723	-1.9 	-1.5 	-2.1 	-1.7 	-0.9 	-1.5 	0.0 	-0.6 	-0.6 	
K1134+919.373	-1.9 	-1.1 	-2.1 	-1.7 	-0.4 	-1.1 	0.0 	-0.7 	-0.7 	
K1134+920.023	-2.0 	-0.8 	-2.2 	-1.8 	-0.1 	-0.8 	0.0 	-0.6 	-0.6 	
K1134+920.673	-1.9 	-0.7 	-2.2 	-1.7 	-0.3 	-0.7 	0.0 	-0.4 	-0.4 	
K1134+921.323	-1.9 	-0.5 	-2.3 	-1.6 	-0.4 	-0.5 	0.0 	-0.1 	-0.1 	
K1134+921.973	-1.9 	-0.5 	-2.3 	-1.6 	-0.5 	-0.5 	0.0 	0.0 	0.0 	
K1134+922.623	-2.0 	-0.4 	-2.1 	-1.8 	-0.4 	-0.3 	0.0 	0.1 	0.1 	
K1134+923.273	-2.3 	-0.5 	-2.4 	-2.2 	-0.5 	-0.4 	0.0 	0.0 	0.0 	
K1134+923.923	-2.4 	-0.5 	-2.6 	-2.3 	-0.3 	-0.5 	0.0 	-0.2 	-0.2 	
K1134+924.573	-2.5 	-0.4 	-2.7 	-2.3 	-0.1 	-0.4 	0.0 	-0.3 	-0.3 	
K1134+925.223	-2.3 	-0.2 	-2.4 	-2.2 	0.1 	-0.2 	0.0 	-0.3 	-0.3 	
K1134+925.873	-2.3 	-0.2 	-2.4 	-2.3 	0.1 	-0.2 	0.0 	-0.2 	-0.2 	
K1134+926.524	-2.4 	0.2 	-2.6 	-2.3 	0.2 	0.2 	0.0 	-0.1 	-0.1 	
K1134+927.174	-2.5 	0.3 	-2.7 	-2.3 	0.3 	0.4 	0.0 	0.1 	0.1 	
K1134+927.824	-2.5 	0.3 	-2.7 	-2.3 	0.3 	0.4 	0.0 	0.2 	0.2 	
